NULL,"1st 4 Kirkby",0,"#000000",NULL,
NULL,"21st Century Conservative Democrats",0,"#000000",NULL,
NULL,"21st Century Democracy",0,"#000000",NULL,
NULL,"30/50",0,"#000000",NULL,
NULL,"A BEE C",0,"#000000",NULL,
NULL,"A Better Way to Govern",0,"#000000",NULL,
NULL,"Action To Save St.John's Hospital",0,"#000000",NULL,
NULL,"All People's Party",0,"#000000",NULL,
NULL,"All Scotland Pensioners Party",0,"#000000",NULL,
NULL,"All The South Party",0,"#000000",NULL,
NULL,"Alliance - Alliance Party of Northern Ireland",0,"#000000",NULL,
NULL,"Alliance For Green Socialism",0,"#000000",NULL,
NULL,"Alliance for Workers' Liberty",0,"#000000",NULL,
NULL,"Alternative Party",0,"#000000",NULL,
NULL,"An Independence",0,"#000000",NULL,
NULL,"Animal Welfare Party",0,"#000000",NULL,
NULL,"Apolitical Democrats",0,"#000000",NULL,
NULL,"Ashford Independent",0,"#000000",NULL,
NULL,"Ashtead Independents",0,"#000000",NULL,
NULL,"Ban Bankers Bonuses",0,"#000000",NULL,
NULL,"Barnsley Independent Group",0,"#000000",NULL,
NULL,"Beaconsfield Independent Electors Association",0,"#000000",NULL,
NULL,"Beer, Baccy and Crumpet Party",0,"#000000",NULL,
NULL,"Better Bedford",0,"#000000",NULL,
NULL,"Billingham Independents Association",0,"#000000",NULL,
NULL,"Binfield Independent Conservatives",0,"#000000",NULL,
NULL,"Brentwood First",0,"#000000",NULL,
NULL,"Bristol 1st",0,"#000000",NULL,
NULL,"Britain First",0,"#000000",NULL,
NULL,"Britannica",0,"#000000",NULL,
NULL,"British Commonwealth Party",0,"#000000",NULL,
NULL,"British Democratic Party",0,"#000000",NULL,
NULL,"British Independents",0,"#000000",NULL,
NULL,"British Jobs First",0,"#000000",NULL,
NULL,"British National Party",0,"#000000",NULL,
NULL,"British Unicorn Party",0,"#000000",NULL,
NULL,"Calverton First Independents Party",0,"#000000",NULL,
NULL,"Cambridge Socialists",0,"#000000",NULL,
NULL,"Canvey Island Independent Party",0,"#000000",NULL,
NULL,"Castle Independents",0,"#000000",NULL,
NULL,"Centre Democrats",0,"#000000",NULL,
NULL,"Centreground Party",0,"#000000",NULL,
NULL,"Chigwell Residents",0,"#000000",NULL,
NULL,"Christian Democratic Party",0,"#000000",NULL,
NULL,"Christian Movement for Great Britain",0,"#000000",NULL,
NULL,"Christian Party "Proclaiming Christ's Lordship"",0,"#000000",NULL,
NULL,"Christian Peoples Alliance",0,"#000000",NULL,
NULL,"Church of the Militant Elvis",0,"#000000",NULL,
NULL,"Citizens First",0,"#000000",NULL,
NULL,"City INDEPENDENTS",0,"#000000",NULL,
NULL,"Civil Society and Common Wealth",0,"#000000",NULL,
NULL,"Class War",0,"#000000",NULL,
NULL,"Clause 28, Children's Protection Christian Democrats",0,"#000000",NULL,
